N,Result,Time,Speedup,Efficiency
0,3318599117,693,1,1
1,3318599117,337,2.05638,1.02819
2,3229120631,228,3.03947,1.01316
3,3318599117,175,3.96,0.99
4,3264912025,137,5.05839,1.01168
5,2871206687,122,5.68033,0.946721
6,3203555348,106,6.53774,0.933962
7,3318599117,98,7.07143,0.883929
