N,Result,Time,Speedup,Efficiency
0,3318599117,709,1,1
1,3318599117,1059,0.6695,0.33475
2,3318599117,1090,0.650459,0.21682
3,3318599117,1097,0.646308,0.161577
4,3318599117,1061,0.668238,0.133648
5,3318599117,756,0.937831,0.156305
6,3318599117,1039,0.682387,0.0974838
7,3318599117,1014,0.699211,0.0874014
