N,Result,Time,Speedup,Efficiency
0,3318599117,807,1,1
1,3318599117,312,2.58654,1.29327
2,3318599117,210,3.84286,1.28095
3,3318599117,161,5.01242,1.25311
4,3318599117,128,6.30469,1.26094
5,3318599117,112,7.20536,1.20089
6,3318599117,98,8.23469,1.17638
7,3318599117,110,7.33636,0.917045
