N,Result,Time,Speedup,Efficiency
0,3318599117,732,1,1
1,3318599117,521,1.40499,0.702495
2,3318599117,374,1.95722,0.652406
3,3318599117,269,2.72119,0.680297
4,3318599117,433,1.69053,0.338106
5,3318599117,411,1.78102,0.296837
6,3318599117,564,1.29787,0.18541
7,3318599117,565,1.29558,0.161947
