N,Result,Time,Speedup,Efficiency
0,3318599117,762,1,1
1,3318599117,353,2.15864,1.07932
2,3318599117,210,3.62857,1.20952
3,3318599117,163,4.67485,1.16871
4,3318599117,129,5.90698,1.1814
5,3318599117,107,7.1215,1.18692
6,3318599117,96,7.9375,1.13393
7,3318599117,84,9.07143,1.13393
