N,Result,Time,Speedup,Efficiency
0,3318599117,572,1,1
1,3318599117,308,1.85714,0.928571
2,3318599117,192,2.97917,0.993056
3,3318599117,150,3.81333,0.953333
4,3318599117,124,4.6129,0.922581
5,3318599117,105,5.44762,0.907937
6,3318599117,98,5.83673,0.833819
7,3318599117,87,6.57471,0.821839
