N,Result,Time,Speedup,Efficiency
0,3318599117,680,1,1
1,3318599117,776,0.876289,0.438144
2,3318599117,799,0.851064,0.283688
3,3318599117,625,1.088,0.272
4,3318599117,617,1.10211,0.220421
5,3318599117,717,0.948396,0.158066
6,3318599117,650,1.04615,0.149451
7,3318599117,642,1.05919,0.132399
